original_address,lat,lon,formatted,name,housenumber,street,district,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"1 Cardinals Dr, Glendale, AZ 85305",33.529115,-112.264551,"1 Cardinals Drive, Glendale, AZ 85305, United States of America",,1,Cardinals Drive,,85305,,Glendale,Maricopa County,Arizona,AZ,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3333 Al Davis Way, Las Vegas, NV 89118",36.09083455,-115.18343206671804,"Allegiant Stadium, 3333 Al Davis Way, Las Vegas, NV 89118, United States of America",Allegiant Stadium,3333,Al Davis Way,,89118,,Las Vegas,Clark County,Nevada,NV,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1 AT&T Way, Arlington, TX 76011",32.7414702,-97.090884,"AT&T Way, Arlington, TX 76011, United States of America",AT&T Way,,AT&T Way,,76011,,Arlington,Tarrant County,Texas,TX,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4201 N Dale Mabry Hwy, Tampa, FL 33607",27.977898,-82.505391,"4201 North Dale Mabry Highway, Tampa, FL 33607, United States of America",,4201,North Dale Mabry Highway,,33607,,Tampa,Hillsborough County,Florida,FL,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"NRG Stadium, 2 NRG Park, Houston, TX 77054",29.684514,-95.411906,"NRG Park, 1 NRG Parkway, Houston, TX 77054, United States of America",NRG Park,1,NRG Parkway,,77054,South Main,Houston,Harris County,Texas,TX,United States,us,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1 AMB Dr NW, Atlanta, GA 30313",33.7544463,-84.4024175,"AMB Drive Northwest, Atlanta, GA 30313, United States of America",AMB Drive Northwest,,AMB Drive Northwest,Castleberry Hill,30313,,Atlanta,Fulton County,Georgia,GA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1 Titans Way, Nashville, TN 37213",36.166925,-86.773933,"1 Titans Way, Nashville-Davidson, TN 37213, United States of America",,1,Titans Way,,37213,East Nashville,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"One Lincoln Financial Field Way, Philadelphia, PA 19148",39.911612,-75.151475,"Philadelphia (Philadelphia), PA 19148, United States of America",19148,,,Philadelphia,19148,,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
"1 Patriot Pl, Foxborough, MA 02035",42.088379,-71.261241,"1 Patriot Place, Foxborough, MA 02035, United States of America",,1,Patriot Place,Foxborough,02035,,Foxborough,Norfolk County,Massachusetts,MA,United States,us,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
"1 MetLife Stadium Dr, East Rutherford, NJ 07073",40.817097,-74.085024,"East Rutherford (East Rutherford), NJ 07073, United States of America",07073,,,East Rutherford,07073,,East Rutherford,Bergen County,New Jersey,NJ,United States,us,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
